epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,308.994,0.72637,2.4982,1.16884,0.94036,0.38578,0.44201,0.3643,0.60306,2.36433,0.98532,0.000415381,0.000415381,0.000415381
2,651.91,0.78094,1.95379,1.18464,0.94391,0.35836,0.44965,0.391,0.58038,1.75039,0.98305,0.000815573,0.000815573,0.000815573
3,990.131,0.81416,1.64382,1.1969,0.94291,0.41858,0.4638,0.39143,0.57735,1.48275,0.93024,0.00119926,0.00119926,0.00119926
4,1332.5,0.80972,1.42554,1.17136,0.90121,0.39583,0.444,0.36522,0.64442,1.14548,0.94206,0.00117575,0.00117575,0.00117575
5,1673.2,0.7574,1.23664,1.14583,0.94629,0.46231,0.48264,0.41697,0.52869,0.89817,0.89691,0.001151,0.001151,0.001151
6,2102.79,0.72035,1.15168,1.11914,0.95956,0.4474,0.51342,0.44383,0.48668,0.82526,0.87212,0.00112625,0.00112625,0.00112625
7,2727.57,0.71193,1.10853,1.12366,0.70372,0.46487,0.49761,0.44616,0.4572,0.71454,0.85992,0.0011015,0.0011015,0.0011015
8,3252.2,0.70652,1.04191,1.11532,0.96015,0.46064,0.51888,0.45451,0.49085,0.70721,0.87335,0.00107675,0.00107675,0.00107675
9,3606,0.65977,0.92615,1.07131,0.57917,0.80925,0.76801,0.61441,0.46876,0.65366,0.84411,0.001052,0.001052,0.001052
10,3966.88,0.65312,0.90409,1.06961,0.48484,0.68322,0.64647,0.54844,0.45602,0.58747,0.85943,0.00102725,0.00102725,0.00102725
11,4335.2,0.6281,0.86029,1.07641,0.43856,0.66153,0.57109,0.47694,0.40498,0.56259,0.84022,0.0010025,0.0010025,0.0010025
12,4702.14,0.58893,0.82096,1.04998,0.42384,0.74751,0.56638,0.50585,0.39685,0.68382,0.83885,0.00097775,0.00097775,0.00097775
13,5067.67,0.58269,0.76226,1.0355,0.51479,0.71492,0.61424,0.51345,0.40459,0.5137,0.82592,0.000953,0.000953,0.000953
14,5435.81,0.58781,0.79872,1.04945,0.60771,0.67979,0.65781,0.58387,0.38196,0.5246,0.8056,0.00092825,0.00092825,0.00092825
15,5846.14,0.57319,0.7372,1.02481,0.95442,0.59784,0.67915,0.59471,0.36942,0.48605,0.80161,0.0009035,0.0009035,0.0009035
16,6876.62,0.55486,0.751,1.02423,0.96344,0.58552,0.65582,0.56736,0.35229,0.47703,0.78941,0.00087875,0.00087875,0.00087875
17,7955.86,0.54808,0.69923,1.02841,0.79355,0.71802,0.70626,0.59835,0.36443,0.45889,0.78395,0.000854,0.000854,0.000854
18,8927.44,0.52854,0.69757,1.0165,0.84098,0.77447,0.83743,0.69277,0.34138,0.4376,0.79784,0.00082925,0.00082925,0.00082925
19,9278.42,0.53501,0.68156,1.01844,0.6378,0.69268,0.72255,0.55358,0.35795,0.43893,0.79039,0.0008045,0.0008045,0.0008045
20,9623.11,0.50641,0.66012,1.00851,0.94965,0.81189,0.86852,0.64233,0.36743,0.44588,0.79988,0.00077975,0.00077975,0.00077975
21,9969.71,0.49068,0.64886,0.99524,0.93002,0.73693,0.81818,0.65931,0.34085,0.43198,0.7869,0.000755,0.000755,0.000755
22,10315.2,0.50782,0.65316,1.00392,0.60987,0.86437,0.79512,0.64815,0.32619,0.41399,0.77799,0.00073025,0.00073025,0.00073025
23,10657.8,0.50088,0.62811,0.99252,0.79362,0.704,0.79941,0.64237,0.32006,0.39215,0.77589,0.0007055,0.0007055,0.0007055
24,11006.9,0.49673,0.60764,0.99471,0.91559,0.7565,0.81434,0.69584,0.33436,0.45724,0.78638,0.00068075,0.00068075,0.00068075
